"","Week","Customer","Product","Qty"
"1",1,1,"pates",TRUE
"2",1,1,"vin rouge",TRUE
"3",1,1,"chocololat",TRUE
"4",1,1,"olives",TRUE
"5",1,1,"cure-dents",TRUE
"6",1,1,"tomates",TRUE
"7",1,2,"langes",TRUE
"8",1,2,"pommes",TRUE
"9",1,2,"vin rouge",TRUE
"10",1,2,"chocololat",TRUE
"11",1,3,"eau",TRUE
"12",1,3,"chocololat",TRUE
"13",1,3,"serviette",TRUE
"14",1,3,"dextro",TRUE
"15",1,4,"soda",TRUE
"16",1,4,"olives",TRUE
"17",1,5,"eau",TRUE
"18",1,5,"pates",TRUE
"19",1,5,"poires",TRUE
"20",1,5,"soda",TRUE
"21",1,5,"dextro",TRUE
"22",1,6,"eau",TRUE
"23",1,6,"vin rouge",TRUE
"24",1,6,"biere",TRUE
"25",1,6,"chocololat",TRUE
"26",1,7,"eau",TRUE
"27",1,7,"pates",TRUE
"28",1,7,"bolo",TRUE
"29",1,7,"pommes",TRUE
"30",1,7,"chocololat",TRUE
"31",1,7,"serviette",TRUE
"32",1,7,"tomates",TRUE
"33",1,7,"lait poudre",TRUE
"34",1,8,"eau",TRUE
"35",1,8,"vin rouge",TRUE
"36",1,8,"soda",TRUE
"37",1,9,"eau",TRUE
"38",1,9,"langes",TRUE
"39",1,9,"vin rouge",TRUE
"40",1,9,"chocololat",TRUE
"41",1,9,"lait poudre",TRUE
"42",1,10,"eau",TRUE
"43",1,10,"langes",TRUE
"44",1,10,"pommes",TRUE
"45",1,10,"poires",TRUE
"46",1,10,"vin rouge",TRUE
"47",1,10,"chocololat",TRUE
"48",1,10,"lait poudre",TRUE
"49",1,11,"eau",TRUE
"50",1,11,"pates",TRUE
"51",1,11,"bolo",TRUE
"52",1,11,"langes",TRUE
"53",1,11,"chocololat",TRUE
"54",1,11,"tomates",TRUE
"55",1,12,"pates",TRUE
"56",1,12,"langes",TRUE
"57",1,12,"vin rouge",TRUE
"58",1,12,"tomates",TRUE
"59",1,13,"biere",TRUE
"60",1,13,"soda",TRUE
"61",1,14,"pates",TRUE
"62",1,14,"bolo",TRUE
"63",1,14,"vin rouge",TRUE
"64",1,14,"olives",TRUE
"65",1,15,"eau",TRUE
"66",1,15,"pates",TRUE
"67",1,15,"bolo",TRUE
"68",1,15,"langes",TRUE
"69",1,15,"pommes",TRUE
"70",1,15,"chocololat",TRUE
"71",1,15,"tomates",TRUE
"72",1,15,"lait poudre",TRUE
"73",1,16,"pates",TRUE
"74",1,16,"biere",TRUE
"75",1,16,"serviette",TRUE
"76",1,16,"olives",TRUE
"77",1,16,"cure-dents",TRUE
"78",1,16,"tomates",TRUE
"79",1,17,"eau",TRUE
"80",1,17,"langes",TRUE
"81",1,17,"chocololat",TRUE
"82",1,17,"lait poudre",TRUE
"83",1,18,"eau",TRUE
"84",1,18,"pates",TRUE
"85",1,18,"biere",TRUE
"86",1,18,"serviette",TRUE
"87",1,18,"dextro",TRUE
"88",1,18,"tomates",TRUE
"89",1,19,"eau",TRUE
"90",1,19,"pates",TRUE
"91",1,19,"poires",TRUE
"92",1,19,"serviette",TRUE
"93",1,20,"eau",TRUE
"94",1,20,"pates",TRUE
"95",1,20,"bolo",TRUE
"96",1,20,"langes",TRUE
"97",1,20,"poires",TRUE
"98",1,20,"chocololat",TRUE
"99",1,20,"serviette",TRUE
"100",1,20,"olives",TRUE
"101",1,20,"lait poudre",TRUE
"102",1,21,"pates",TRUE
"103",1,21,"bolo",TRUE
"104",1,21,"langes",TRUE
"105",1,21,"pommes",TRUE
"106",1,21,"vin rouge",TRUE
"107",1,21,"biere",TRUE
"108",1,21,"chocololat",TRUE
"109",1,21,"olives",TRUE
"110",1,22,"pates",TRUE
"111",1,22,"chocololat",TRUE
"112",1,22,"olives",TRUE
"113",1,22,"tomates",TRUE
"114",1,23,"vin rouge",TRUE
"115",1,23,"chocololat",TRUE
"116",1,23,"olives",TRUE
"117",1,24,"pates",TRUE
"118",1,24,"pommes",TRUE
"119",1,24,"poires",TRUE
"120",1,24,"soda",TRUE
"121",1,24,"dextro",TRUE
"122",1,24,"tomates",TRUE
"123",1,25,"langes",TRUE
"124",1,25,"pommes",TRUE
"125",1,25,"vin rouge",TRUE
"126",1,25,"soda",TRUE
"127",1,25,"chocololat",TRUE
"128",1,25,"olives",TRUE
"129",1,25,"lait poudre",TRUE
"130",1,26,"soda",TRUE
"131",1,26,"chocololat",TRUE
"132",1,27,"olives",TRUE
"133",1,28,"vin rouge",TRUE
"134",1,28,"biere",TRUE
"135",1,28,"soda",TRUE
"136",1,28,"chocololat",TRUE
"137",1,28,"serviette",TRUE
"138",1,29,"eau",TRUE
"139",1,29,"pates",TRUE
"140",1,29,"bolo",TRUE
"141",1,29,"chocololat",TRUE
"142",1,29,"dextro",TRUE
"143",1,29,"olives",TRUE
"144",1,29,"tomates",TRUE
"145",1,29,"lait poudre",TRUE
"146",1,30,"eau",TRUE
"147",1,30,"pates",TRUE
"148",1,30,"langes",TRUE
"149",1,30,"pommes",TRUE
"150",1,30,"poires",TRUE
"151",1,30,"serviette",TRUE
"152",1,30,"dextro",TRUE
"153",1,30,"lait poudre",TRUE
"154",1,31,"biere",TRUE
"155",1,31,"soda",TRUE
"156",1,31,"cure-dents",TRUE
"157",1,32,"eau",TRUE
"158",1,32,"pates",TRUE
"159",1,32,"poires",TRUE
"160",1,32,"chocololat",TRUE
"161",1,32,"dextro",TRUE
"162",1,32,"tomates",TRUE
"163",1,33,"pates",TRUE
"164",1,33,"langes",TRUE
"165",1,33,"pommes",TRUE
"166",1,33,"soda",TRUE
"167",1,33,"chocololat",TRUE
"168",1,33,"lait poudre",TRUE
"169",1,34,"eau",TRUE
"170",1,34,"pates",TRUE
"171",1,34,"vin rouge",TRUE
"172",1,34,"cure-dents",TRUE
"173",1,35,"pates",TRUE
"174",1,35,"bolo",TRUE
"175",1,35,"langes",TRUE
"176",1,35,"pommes",TRUE
"177",1,35,"soda",TRUE
"178",1,35,"chocololat",TRUE
"179",1,35,"serviette",TRUE
"180",1,35,"olives",TRUE
"181",1,35,"lait poudre",TRUE
